ID,Name,Title,Firm,Firm Type,Country,Focus,Email,Market Focus,Deal Size,Stage Focus,Source,Email_Validated,Company_Verified,LinkedIn_URL,Investment_Focus_Detailed,Last_Enriched,Enrichment_Source
137,James Scott,Portfolio Manager,Aurora Resources Fund,Boutique Investment Bank,Canada,Gold Mining,jscott@aurora.ca,Junior Mining,$43M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
138,Jason Miller,Partner,True North Capital,Boutique Investment Bank,Canada,Gold Mining,jmiller@true.com,Junior Mining,$24M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
139,Steven Jackson,Principal,Boreal Investment Partners,Private Equity,Canada,Development Stage Mining,steven.jackson@boreal.ca,Junior Mining,$43M,Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
140,Nicholas Walker,Senior Investment Manager,Northern Resources Fund,Boutique Investment Bank,Canada,Precious Metals,nwalker@northern.com,Junior Mining,$9M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
141,Andrew Walker,Principal,Digger Resources,Stockbroker,Australia,Base Metals,awalker@digger.com.au,Junior Mining,$43M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
142,Patrick Rodriguez,Investment Director,Polaris Investment Group,Family Office,Canada,Gold Mining,patrick.rodriguez@polaris.ca,Junior Mining,$2M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
143,John Clark,Head of Mining,Arctic Capital Management,Private Equity,Canada,Precious Metals,clark@arctic.com,Junior Mining,$29M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
144,Brian Campbell,Investment Manager,Coral Sea Capital,Investment Fund,Australia,Mining & Resources,bcampbell@coral.com,Junior Mining,$28M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
145,James Lee,Investment Director,Canadian Mining Ventures,Boutique Investment Bank,Canada,Precious Metals,lee@canadian.com,Junior Mining,$38M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
146,Paul Cooper,Partner,Sydney Mining Partners,Stockbroker,Australia,Gold Mining,pcooper@sydney.com.au,Junior Mining,$49M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
147,Eric Thompson,Partner,Northern Resources Fund,Private Equity,Canada,Base Metals,ethompson@northern.ca,Junior Mining,$19M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
148,Edward Walker,Principal,Digger Resources,Private Equity,Australia,Production Assets,edward.walker@digger.com.au,Junior Mining,$14M,Pre-Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
149,Paul Allen,Partner,Timberwolf Capital,Private Equity,Canada,Base Metals,pallen@timberwolf.ca,Junior Mining,$48M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
150,Eric Clark,Partner,Aurora Resources Fund,Boutique Investment Bank,Canada,Development Stage Mining,eclark@aurora.ca,Junior Mining,$10M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
151,Brian Lee,Head of Mining,Polaris Investment Group,Boutique Investment Bank,Canada,Gold Mining,brian.lee@polaris.com,Junior Mining,$29M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
152,Timothy Wilson,Principal,Yukon Ventures,Boutique Investment Bank,Canada,Gold Mining,timothy.wilson@yukon.com,Junior Mining,$32M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
153,Ronald Morris,Managing Director,Digger Resources,Stockbroker,Australia,Base Metals,rmorris@digger.com.au,Junior Mining,$20M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
154,Richard Miller,Head of Mining,Great White Capital,Boutique Investment Bank,Canada,Development Stage Mining,richard.miller@great.ca,Junior Mining,$9M,Development,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
155,Gary King,Senior Advisor,Perth Ventures,Investment Fund,Australia,Copper Mining,gary.king@perth.com.au,Junior Mining,$15M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
156,Paul Lee,Partner,Yukon Ventures,Boutique Investment Bank,Canada,Copper Mining,plee@yukon.ca,Junior Mining,$8M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
157,Michael Clark,Partner,Yukon Ventures,Private Equity,Canada,Development Stage Mining,mclark@yukon.com,Junior Mining,$34M,Pre-Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
158,Kevin Lewis,Vice President - Resources,Canadian Mining Ventures,Boutique Investment Bank,Canada,Development Stage Mining,kevin.lewis@canadian.com,Junior Mining,$29M,Development,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
159,Jason Mitchell,Principal,Melbourne Resources Fund,Investment Fund,Australia,Copper Mining,mitchell@melbourne.com,Junior Mining,$17M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
160,Ronald Robinson,Investment Manager,Coral Sea Capital,Investment Fund,Australia,Iron Ore,rrobinson@coral.com.au,Junior Mining,$4M,Pre-Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
161,Mark White,Senior Investment Manager,Pacific Northwest Capital,Family Office,Canada,Copper Mining,white@pacific.com,Junior Mining,$27M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
162,Stephen Wilson,Head of Mining,Aurora Resources Fund,Boutique Investment Bank,Canada,Exploration Finance,swilson@aurora.ca,Junior Mining,$44M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
163,Mark Martinez,Vice President - Resources,Great White Capital,Family Office,Canada,Gold Mining,mmartinez@great.com,Junior Mining,$40M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
164,John Thomas,Head of Mining,Canadian Mining Ventures,Private Equity,Canada,Copper Mining,thomas@canadian.com,Junior Mining,$43M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
165,John Martin,Partner,Boreal Investment Partners,Family Office,Canada,Exploration Finance,jmartin@boreal.ca,Junior Mining,$15M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
166,Gary Johnson,Investment Director,Pacific Northwest Capital,Private Equity,Canada,Base Metals,gjohnson@pacific.ca,Junior Mining,$1M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
167,Robert Lee,Investment Director,Northern Resources Fund,Family Office,Canada,Exploration Finance,robert.lee@northern.ca,Junior Mining,$13M,Exploration,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
168,Anthony Wilson,Senior Advisor,Pacific Mining Partners,Stockbroker,Australia,Base Metals,anthonyw@pacific.com,Junior Mining,$33M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
169,Thomas Williams,Portfolio Manager,Aurora Resources Fund,Boutique Investment Bank,Canada,Lithium/Battery Metals,williams@aurora.com,Junior Mining,$19M,Exploration,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
170,James Anderson,Head of Mining,Great White Capital,Family Office,Canada,Gold Mining,jamesa@great.com,Junior Mining,$25M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
171,James Scott,Senior Investment Manager,Northern Resources Fund,Private Equity,Canada,Gold Mining,jscott@northern.com,Junior Mining,$7M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
172,Brian Harrison,Principal,Great Barrier Capital,Investment Fund,Australia,Iron Ore,brianh@great.com,Junior Mining,$9M,Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
173,Robert Hall,Principal,True North Capital,Boutique Investment Bank,Canada,Copper Mining,hall@true.com,Junior Mining,$33M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
174,Patrick Miller,Managing Director,Pacific Northwest Capital,Family Office,Canada,Exploration Finance,miller@pacific.com,Junior Mining,$21M,Development,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
175,Ronald Jones,Partner,Pacific Mining Partners,Stockbroker,Australia,Copper Mining,ronald.jones@pacific.com,Junior Mining,$30M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
176,Kevin Thomas,Managing Director,Southern Cross Capital,Investment Fund,Australia,Lithium/Battery Metals,kevin.thomas@southern.com.au,Junior Mining,$47M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
177,Brian Brown,Portfolio Manager,Kangaroo Ventures,Private Equity,Australia,Base Metals,brian.brown@kangaroo.com.au,Junior Mining,$17M,Development,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
178,Matthew Moore,Investment Director,Maple Capital Partners,Family Office,Canada,Copper Mining,matthew.moore@maple.ca,Junior Mining,$45M,Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
179,Daniel Lee,Senior Investment Manager,Maple Capital Partners,Private Equity,Canada,Development Stage Mining,daniel.lee@maple.ca,Junior Mining,$24M,Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
180,Steven Martinez,Senior Investment Manager,Yukon Ventures,Boutique Investment Bank,Canada,Exploration Finance,steven.martinez@yukon.ca,Junior Mining,$43M,Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
181,Ronald Nguyen,Senior Advisor,Outback Capital,Stockbroker,Australia,Base Metals,nguyen@outback.com,Junior Mining,$49M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
182,John Ryan,Portfolio Manager,Perth Ventures,Investment Fund,Australia,Copper Mining,jryan@perth.com,Junior Mining,$24M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
183,David Young,Senior Investment Manager,Canadian Mining Ventures,Private Equity,Canada,Precious Metals,young@canadian.com,Junior Mining,$39M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
184,Kenneth Taylor,Vice President - Resources,Polaris Investment Group,Private Equity,Canada,Gold Mining,ktaylor@polaris.ca,Junior Mining,$8M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
185,Jeffrey Wilson,Partner,Great White Capital,Boutique Investment Bank,Canada,Gold Mining,jeffreyw@great.com,Junior Mining,$32M,Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
186,Andrew Morgan,Portfolio Manager,Kangaroo Ventures,Stockbroker,Australia,Base Metals,amorgan@kangaroo.com,Junior Mining,$44M,Pre-Production,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
187,Jason Lee,Partner,Boreal Investment Partners,Boutique Investment Bank,Canada,Copper Mining,jlee@boreal.com,Junior Mining,$47M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
188,Christopher Davis,Principal,Arctic Capital Management,Family Office,Canada,Gold Mining,christopher.davis@arctic.com,Junior Mining,$42M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
189,Richard Wilson,Principal,Boreal Investment Partners,Private Equity,Canada,Development Stage Mining,rwilson@boreal.ca,Junior Mining,$1M,Development,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
190,Ryan Miller,Head of Mining,True North Capital,Family Office,Canada,Mining & Resources,rmiller@true.ca,Junior Mining,$45M,Development,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
191,Patrick Moore,Vice President - Resources,Great White Capital,Private Equity,Canada,Copper Mining,pmoore@great.com,Junior Mining,$45M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
192,Simon Thomas,Partner,Melbourne Resources Fund,Private Equity,Australia,Iron Ore,sthomas@melbourne.com.au,Junior Mining,$21M,Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
193,Gary Jones,Principal,True North Capital,Boutique Investment Bank,Canada,Precious Metals,gjones@true.ca,Junior Mining,$27M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
194,Thomas Rodriguez,Investment Director,Pacific Northwest Capital,Boutique Investment Bank,Canada,Exploration Finance,thomas.rodriguez@pacific.ca,Junior Mining,$36M,Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
195,William Scott,Partner,Pacific Northwest Capital,Family Office,Canada,Exploration Finance,wscott@pacific.ca,Junior Mining,$37M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
196,Gary Williams,Principal,Polaris Investment Group,Private Equity,Canada,Exploration Finance,gary.williams@polaris.com,Junior Mining,$2M,Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
197,Eric Martinez,Principal,Great White Capital,Boutique Investment Bank,Canada,Precious Metals,eric.martinez@great.com,Junior Mining,$48M,Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
198,Jason Lee,Partner,Aurora Resources Fund,Boutique Investment Bank,Canada,Exploration Finance,jason.lee@aurora.com,Junior Mining,$11M,Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
199,John Thomas,Vice President - Resources,Boreal Investment Partners,Boutique Investment Bank,Canada,Base Metals,john.thomas@boreal.com,Junior Mining,$2M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
200,Ronald Brown,Investment Manager,Sydney Mining Partners,Stockbroker,Australia,Lithium/Battery Metals,brown@sydney.com,Junior Mining,$45M,Exploration,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
201,Scott King,Investment Director,True North Capital,Family Office,Canada,Gold Mining,sking@true.ca,Junior Mining,$20M,Exploration,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
202,Donald Stewart,Principal,Digger Resources,Investment Fund,Australia,Exploration,donald.stewart@digger.com,Junior Mining,$11M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
203,Scott Garcia,Partner,Aurora Resources Fund,Private Equity,Canada,Copper Mining,garcia@aurora.com,Junior Mining,$24M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
204,Andrew Thomas,Vice President - Resources,Timberwolf Capital,Private Equity,Canada,Development Stage Mining,thomas@timberwolf.com,Junior Mining,$8M,Development,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
205,Richard Moore,Vice President - Resources,Boreal Investment Partners,Private Equity,Canada,Precious Metals,richard.moore@boreal.com,Junior Mining,$9M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
206,Stephen Wright,Managing Director,Polaris Investment Group,Private Equity,Canada,Lithium/Battery Metals,swright@polaris.com,Junior Mining,$9M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
207,Stephen Johnson,Investment Director,Maple Capital Partners,Boutique Investment Bank,Canada,Precious Metals,stephenj@maple.com,Junior Mining,$14M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
208,Robert Reed,Portfolio Manager,Great Barrier Capital,Investment Fund,Australia,Iron Ore,reed@great.com,Junior Mining,$3M,Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
209,Simon Clark,Investment Manager,Digger Resources,Investment Fund,Australia,Iron Ore,sclark@digger.com,Junior Mining,$43M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
210,Christopher Lee,Vice President - Resources,Pacific Northwest Capital,Family Office,Canada,Precious Metals,clee@pacific.com,Junior Mining,$33M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
211,Timothy Taylor,Vice President - Resources,Boreal Investment Partners,Boutique Investment Bank,Canada,Precious Metals,ttaylor@boreal.com,Junior Mining,$39M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
212,Andrew Thompson,Principal,Timberwolf Capital,Family Office,Canada,Exploration Finance,athompson@timberwolf.ca,Junior Mining,$26M,Development,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
213,Simon Mitchell,Senior Advisor,Boomerang Investment Group,Private Equity,Australia,Iron Ore,simonm@boomerang.com,Junior Mining,$40M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
214,Gregory Stewart,Senior Advisor,Boomerang Investment Group,Stockbroker,Australia,Lithium/Battery Metals,gregorys@boomerang.com,Junior Mining,$39M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
215,Mark Johnson,Vice President - Resources,True North Capital,Private Equity,Canada,Exploration Finance,johnson@true.com,Junior Mining,$20M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
216,Paul Walker,Head of Mining,Aurora Resources Fund,Boutique Investment Bank,Canada,Lithium/Battery Metals,paul.walker@aurora.ca,Junior Mining,$22M,Development,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
217,Peter Nguyen,Head of Resources,Sydney Mining Partners,Investment Fund,Australia,Production Assets,peter.nguyen@sydney.com.au,Junior Mining,$42M,Exploration,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
218,Jeffrey Martin,Senior Investment Manager,Canadian Mining Ventures,Family Office,Canada,Mining & Resources,martin@canadian.com,Junior Mining,$21M,Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
219,Kenneth Scott,Portfolio Manager,Yukon Ventures,Family Office,Canada,Lithium/Battery Metals,kenneth.scott@yukon.ca,Junior Mining,$12M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
220,Robert Garcia,Partner,Great White Capital,Family Office,Canada,Precious Metals,rgarcia@great.com,Junior Mining,$32M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
221,Mark Wilson,Portfolio Manager,Aurora Resources Fund,Boutique Investment Bank,Canada,Base Metals,mwilson@aurora.ca,Junior Mining,$13M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
222,Brian Wright,Investment Manager,Kangaroo Ventures,Investment Fund,Australia,Copper Mining,wright@kangaroo.com,Junior Mining,$19M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
223,James Johnson,Head of Resources,Melbourne Resources Fund,Stockbroker,Australia,Base Metals,james.johnson@melbourne.com.au,Junior Mining,$41M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
224,Kevin White,Vice President - Resources,Aurora Resources Fund,Private Equity,Canada,Base Metals,kevinw@aurora.com,Junior Mining,$42M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
225,Richard Thomas,Investment Director,Maple Capital Partners,Private Equity,Canada,Mining & Resources,rthomas@maple.ca,Junior Mining,$10M,Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
226,Kenneth Williams,Investment Manager,Perth Ventures,Private Equity,Australia,Lithium/Battery Metals,kenneth.williams@perth.com,Junior Mining,$32M,Pre-Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
227,Eric Harris,Head of Mining,Aurora Resources Fund,Boutique Investment Bank,Canada,Mining & Resources,eric.harris@aurora.ca,Junior Mining,$9M,Pre-Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
228,Richard White,Partner,Canadian Mining Ventures,Private Equity,Canada,Precious Metals,rwhite@canadian.com,Junior Mining,$38M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
229,John Hall,Principal,Timberwolf Capital,Private Equity,Canada,Mining & Resources,hall@timberwolf.com,Junior Mining,$35M,Production,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
230,Steven Clark,Partner,True North Capital,Family Office,Canada,Copper Mining,stevenc@true.com,Junior Mining,$46M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
231,Scott Davis,Vice President - Resources,Timberwolf Capital,Family Office,Canada,Mining & Resources,scott.davis@timberwolf.com,Junior Mining,$14M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
232,Kevin Anderson,Senior Investment Manager,Boreal Investment Partners,Family Office,Canada,Precious Metals,kanderson@boreal.com,Junior Mining,$3M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
233,Paul Williams,Investment Manager,Aussie Resources Fund,Investment Fund,Australia,Gold Mining,paul.williams@aussie.com,Junior Mining,$23M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
234,Christopher Williams,Vice President - Resources,Great White Capital,Private Equity,Canada,Lithium/Battery Metals,williams@great.com,Junior Mining,$48M,Production,Enhanced Database,Pending,Pending,,Lithium/Battery Metals,2026-02-27,Apify + Manual
235,Stephen Williams,Portfolio Manager,Pacific Northwest Capital,Boutique Investment Bank,Canada,Precious Metals,williams@pacific.com,Junior Mining,$28M,Exploration,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
236,Paul Taylor,Principal,Great White Capital,Boutique Investment Bank,Canada,Mining & Resources,pault@great.com,Junior Mining,$9M,Exploration,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
237,Christopher Davis,Vice President - Resources,Northern Resources Fund,Family Office,Canada,Mining & Resources,christopher.davis@northern.com,Junior Mining,$24M,Development,Enhanced Database,Pending,Pending,,Mining & Resources,2026-02-27,Apify + Manual
238,Michael Taylor,Principal,Southern Cross Capital,Investment Fund,Australia,Gold Mining,mtaylor@southern.com.au,Junior Mining,$38M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
239,Steven Martinez,Portfolio Manager,Yukon Ventures,Boutique Investment Bank,Canada,Development Stage Mining,steven.martinez@yukon.ca,Junior Mining,$48M,Production,Enhanced Database,Pending,Pending,,Development Stage Mining,2026-02-27,Apify + Manual
240,Timothy Martin,Senior Investment Manager,Canadian Mining Ventures,Boutique Investment Bank,Canada,Gold Mining,martin@canadian.com,Junior Mining,$32M,Pre-Production,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
241,Kenneth King,Investment Director,Maple Capital Partners,Private Equity,Canada,Exploration Finance,king@maple.com,Junior Mining,$8M,Development,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
242,Kevin Ryan,Head of Resources,Outback Capital,Private Equity,Australia,Iron Ore,kevinr@outback.com,Junior Mining,$17M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
243,John Thomas,Investment Manager,Perth Ventures,Private Equity,Australia,Exploration,jthomas@perth.com.au,Junior Mining,$16M,Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
244,John Jackson,Head of Mining,Arctic Capital Management,Boutique Investment Bank,Canada,Copper Mining,johnj@arctic.com,Junior Mining,$6M,Pre-Production,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
245,Kenneth Reed,Senior Advisor,Coral Sea Capital,Stockbroker,Australia,Exploration,reed@coral.com,Junior Mining,$29M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
246,Jeffrey White,Managing Director,Coral Sea Capital,Investment Fund,Australia,Iron Ore,jeffrey.white@coral.com,Junior Mining,$6M,Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
247,Mark Walker,Portfolio Manager,True North Capital,Family Office,Canada,Precious Metals,markw@true.com,Junior Mining,$39M,Development,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
248,Kenneth Walker,Investment Director,Yukon Ventures,Family Office,Canada,Gold Mining,walker@yukon.com,Junior Mining,$4M,Development,Enhanced Database,Pending,Pending,,Gold Mining,2026-02-27,Apify + Manual
249,Jeffrey Martin,Portfolio Manager,Outback Capital,Investment Fund,Australia,Iron Ore,jmartin@outback.com,Junior Mining,$45M,Exploration,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
250,Kenneth Thomas,Managing Director,Canadian Mining Ventures,Boutique Investment Bank,Canada,Exploration Finance,kthomas@canadian.com,Junior Mining,$39M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
251,Nicholas Miller,Vice President - Resources,Boreal Investment Partners,Family Office,Canada,Exploration Finance,nmiller@boreal.ca,Junior Mining,$23M,Development,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
252,Gregory Lee,Resources Analyst,Southern Cross Capital,Stockbroker,Australia,Production Assets,glee@southern.com,Junior Mining,$21M,Pre-Production,Enhanced Database,Pending,Pending,,Production Assets,2026-02-27,Apify + Manual
253,Donald Morris,Senior Advisor,Outback Capital,Stockbroker,Australia,Exploration,donald.morris@outback.com,Junior Mining,$43M,Exploration,Enhanced Database,Pending,Pending,,Exploration,2026-02-27,Apify + Manual
254,Peter King,Resources Analyst,Boomerang Investment Group,Stockbroker,Australia,Copper Mining,peter.king@boomerang.com.au,Junior Mining,$39M,Development,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
255,Christopher Smith,Portfolio Manager,Pacific Northwest Capital,Private Equity,Canada,Exploration Finance,smith@pacific.com,Junior Mining,$26M,Pre-Production,Enhanced Database,Pending,Pending,,Exploration Finance,2026-02-27,Apify + Manual
256,Mark Cooper,Senior Advisor,Aussie Resources Fund,Private Equity,Australia,Copper Mining,mark.cooper@aussie.com.au,Junior Mining,$21M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
257,Gregory Wright,Investment Manager,Digger Resources,Private Equity,Australia,Copper Mining,gwright@digger.com.au,Junior Mining,$50M,Exploration,Enhanced Database,Pending,Pending,,Copper Mining,2026-02-27,Apify + Manual
258,Jeffrey Scott,Investment Director,Aurora Resources Fund,Private Equity,Canada,Precious Metals,jscott@aurora.ca,Junior Mining,$9M,Pre-Production,Enhanced Database,Pending,Pending,,Precious Metals,2026-02-27,Apify + Manual
259,Daniel Martin,Partner,Polaris Investment Group,Family Office,Canada,Base Metals,daniel.martin@polaris.ca,Junior Mining,$7M,Exploration,Enhanced Database,Pending,Pending,,Base Metals,2026-02-27,Apify + Manual
260,Paul Ryan,Partner,Melbourne Resources Fund,Private Equity,Australia,Iron Ore,pryan@melbourne.com,Junior Mining,$46M,Pre-Production,Enhanced Database,Pending,Pending,,Iron Ore,2026-02-27,Apify + Manual
